data,abertura,alta,baixa,fechamento,ajuste_proximo,Volume
38503,9850000000,9880000000,9730000000,9780000000,7445827637,22275000
38504,9670000000,9790000000,9660000000,9780000000,7445827637,16545000
38505,9900000000,9910000000,9750000000,9750000000,7422986816,18320000
38506,9760000000,9830000000,9710000000,9760000000,7430599121,17675000
38509,9760000000,9760000000,9760000000,9760000000,7430599121,0
38510,9680000000,9700000000,9600000000,9610000000,7316400391,24125000
38511,9560000000,9620000000,9500000000,9550000000,7270717285,26785000
38512,9510000000,9600000000,9430000000,9600000000,7308786133,37520000
38513,9600000000,9890000000,9540000000,9830000000,7483893066,40645000
38516,9830000000,9990000000,9830000000,9960000000,7582866211,22765000
38517,9960000000,10020000000,9880000000,9930000000,7560028320,19495000
38518,9930000000,10000000000,9890000000,10000000000,7613319824,22460000
38519,10000000000,10040000000,9940000000,9970000000,7590479980,18395000
38520,9980000000,9990000000,9830000000,9870000000,7514348633,23945000
38523,9870000000,9880000000,9790000000,9810000000,7468664551,16605000
38524,9810000000,9830000000,9720000000,9760000000,7430599121,20260000
38525,9760000000,9880000000,9740000000,9860000000,7506731934,19650000
38526,9860000000,9980000000,9840000000,9960000000,7582866211,25990000
38527,9920000000,9920000000,9780000000,9820000000,7476280762,21780000
38530,9780000000,9780000000,9660000000,9770000000,7438212891,28050000
38531,9770000000,9810000000,9710000000,9790000000,7453441406,18530000
38532,9800000000,9850000000,9760000000,9800000000,7461052246,19185000
38533,9800000000,9960000000,9800000000,9880000000,7521960938,19835000
38534,9880000000,10020000000,9860000000,10020000000,7628544434,26555000
38537,10100000000,10180000000,10020000000,10060000000,7659000488,15655000
38538,10080000000,10140000000,10000000000,10040000000,7643772461,9300000
38539,10060000000,10140000000,10060000000,10080000000,7674227539,13455000
38540,10080000000,10380000000,10080000000,10320000000,7856945313,31910000
38541,10340000000,10440000000,10320000000,10320000000,7856945313,19665000
38544,10500000000,10700000000,10500000000,10660000000,8115796387,34585000
38545,10800000000,10960000000,10740000000,10820000000,8237611328,46835000
